,id,kjkrfgld,bpowgknt,raksnhjf,vwpsxrgk,omtioxzz,yfmzwkru,tiwrsloh,weioazcf,poor
2225,29252,KfoTG,zPfZR,DtMvg,,12.0,-3.0,-1.0,0.5,False
1598,98286,ljBjd,THHLT,DtMvg,esAQH,21.0,-2.0,-5.0,-9.5,True
7896,49040,Lsuai,zPfZR,zeYAm,ZCIYy,12.0,-3.0,-5.0,-9.5,True
1458,35261,KfoTG,mDadf,zeYAm,ZCIYy,12.0,-1.0,-5.0,-9.5,False
1817,98833,KfoTG,THHLT,DtMvg,ARuYG,21.0,-4.0,-5.0,-9.5,True
8186,54920,qzGkS,mDadf,rXCdD,vVbnO,12.0,-3.0,-3.0,-4.5,True
7426,95467,qzGkS,zPfZR,qTmDg,qNABl,12.0,-4.0,3.0,10.5,False
1907,24683,Lsuai,zPfZR,DtMvg,RpXJc,12.0,-3.0,-5.0,-9.5,True
2921,6161,GVYCk,zPfZR,zeYAm,vVbnO,12.0,-4.0,-5.0,-9.5,True
7558,41473,qzGkS,mDadf,DtMvg,qcizG,3.0,-4.0,-3.0,-4.5,True
650,9664,,THHLT,DtMvg,XAmOF,12.0,-2.0,-1.0,0.5,False
412,72793,Lsuai,THHLT,qTmDg,RpXJc,3.0,-2.0,3.0,10.5,False
1756,58798,tnDpM,zPfZR,qTmDg,yygvO,,-3.0,-13.0,-29.5,True
3320,15749,GVYCk,mDadf,TKfyw,XAmOF,21.0,-3.0,-7.0,-14.5,False
3350,8407,KfoTG,THHLT,DtMvg,DBUky,12.0,-3.0,-5.0,-9.5,False
7040,83176,qzGkS,THHLT,DtMvg,qXvRS,30.0,-3.0,-3.0,-4.5,False
630,94619,KfoTG,THHLT,zeYAm,ZCIYy,12.0,-1.0,-5.0,-9.5,False
3256,33426,qzGkS,THHLT,rXCdD,vVbnO,12.0,-3.0,3.0,10.5,False
3618,13974,qzGkS,THHLT,DtMvg,sPNOc,21.0,-2.0,,-9.5,False
5561,11085,tnDpM,THHLT,qTmDg,tXtkv,21.0,-3.0,-3.0,-4.5,True
2083,97736,qzGkS,THHLT,rXCdD,sPNOc,48.0,-2.0,-1.0,0.5,False
79,27926,,mDadf,qTmDg,sPNOc,21.0,-3.0,-11.0,-24.5,True
7369,56619,Lsuai,THHLT,zeYAm,NdlDR,12.0,-3.0,1.0,5.5,False
5394,77781,ljBjd,WXYiE,DtMvg,qXvRS,12.0,-4.0,1.0,5.5,False
4483,35962,qzGkS,THHLT,DtMvg,qXvRS,39.0,-2.0,-7.0,-14.5,False
4914,90936,Lsuai,THHLT,zeYAm,yKWYC,39.0,-3.0,-5.0,-9.5,False
6591,79299,qzGkS,,DtMvg,esAQH,3.0,-4.0,-7.0,-14.5,True
7416,82612,qzGkS,THHLT,DtMvg,lwCkE,12.0,-3.0,-11.0,-24.5,True
4266,5117,Lsuai,zPfZR,DtMvg,qcizG,21.0,,,0.5,False
2626,37444,qzGkS,mDadf,rXCdD,,12.0,-3.0,-1.0,0.5,True
3879,36904,qzGkS,zPfZR,DtMvg,ARuYG,12.0,-3.0,-5.0,-9.5,True
8132,43178,GVYCk,zPfZR,DtMvg,yygvO,21.0,-4.0,3.0,10.5,False
5546,5610,Lsuai,THHLT,rXCdD,NdlDR,12.0,-2.0,-3.0,-4.5,False
7281,31712,KfoTG,THHLT,DtMvg,XHmQd,12.0,-3.0,-5.0,-9.5,False
2742,7962,KfoTG,THHLT,rXCdD,AjMVN,12.0,-3.0,1.0,5.5,False
6982,21276,Lsuai,mDadf,qTmDg,XHmQd,12.0,-3.0,-1.0,0.5,True
4040,15741,KfoTG,THHLT,qTmDg,NdlDR,21.0,-1.0,-5.0,-9.5,True
6019,95535,Lsuai,THHLT,DtMvg,bUhyU,21.0,-3.0,-7.0,-14.5,True
